hodnota,vek_kod,vuzemi_kod,casref_do,vek_txt,vuzemi_txt
50219,75-79,3018,2019-12-31,75 až 80 (více nebo rovno 75 a méně než 80),Hlavní město Praha
47394,75-79,3026,2019-12-31,75 až 80 (více nebo rovno 75 a méně než 80),Středočeský kraj
24453,75-79,3034,2019-12-31,75 až 80 (více nebo rovno 75 a méně než 80),Jihočeský kraj
22993,75-79,3042,2019-12-31,75 až 80 (více nebo rovno 75 a méně než 80),Plzeňský kraj
11143,75-79,3051,2019-12-31,75 až 80 (více nebo rovno 75 a méně než 80),Karlovarský kraj
29644,75-79,3069,2019-12-31,75 až 80 (více nebo rovno 75 a méně než 80),Ústecký kraj
16373,75-79,3077,2019-12-31,75 až 80 (více nebo rovno 75 a méně než 80),Liberecký kraj
22755,75-79,3085,2019-12-31,75 až 80 (více nebo rovno 75 a méně než 80),Královéhradecký kraj
19784,75-79,3093,2019-12-31,75 až 80 (více nebo rovno 75 a méně než 80),Pardubický kraj
19833,75-79,3107,2019-12-31,75 až 80 (více nebo rovno 75 a méně než 80),Kraj Vysočina
47208,75-79,3115,2019-12-31,75 až 80 (více nebo rovno 75 a méně než 80),Jihomoravský kraj
25011,75-79,3123,2019-12-31,75 až 80 (více nebo rovno 75 a méně než 80),Olomoucký kraj
23075,75-79,3131,2019-12-31,75 až 80 (více nebo rovno 75 a méně než 80),Zlínský kraj
48744,75-79,3140,2019-12-31,75 až 80 (více nebo rovno 75 a méně než 80),Moravskoslezský kraj
71073,70-74,3018,2019-12-31,70 až 75 (více nebo rovno 70 a méně než 75),Hlavní město Praha
74616,70-74,3026,2019-12-31,70 až 75 (více nebo rovno 70 a méně než 75),Středočeský kraj
37327,70-74,3034,2019-12-31,70 až 75 (více nebo rovno 70 a méně než 75),Jihočeský kraj
34018,70-74,3042,2019-12-31,70 až 75 (více nebo rovno 70 a méně než 75),Plzeňský kraj
17286,70-74,3051,2019-12-31,70 až 75 (více nebo rovno 70 a méně než 75),Karlovarský kraj
48957,70-74,3069,2019-12-31,70 až 75 (více nebo rovno 70 a méně než 75),Ústecký kraj
26898,70-74,3077,2019-12-31,70 až 75 (více nebo rovno 70 a méně než 75),Liberecký kraj
33754,70-74,3085,2019-12-31,70 až 75 (více nebo rovno 70 a méně než 75),Královéhradecký kraj
29400,70-74,3093,2019-12-31,70 až 75 (více nebo rovno 70 a méně než 75),Pardubický kraj
28945,70-74,3107,2019-12-31,70 až 75 (více nebo rovno 70 a méně než 75),Kraj Vysočina
65559,70-74,3115,2019-12-31,70 až 75 (více nebo rovno 70 a méně než 75),Jihomoravský kraj
36428,70-74,3123,2019-12-31,70 až 75 (více nebo rovno 70 a méně než 75),Olomoucký kraj
32638,70-74,3131,2019-12-31,70 až 75 (více nebo rovno 70 a méně než 75),Zlínský kraj
66075,70-74,3140,2019-12-31,70 až 75 (více nebo rovno 70 a méně než 75),Moravskoslezský kraj
74933,65-69,3018,2019-12-31,65 až 70 (více nebo rovno 65 a méně než 70),Hlavní město Praha
38327,65-69,3042,2019-12-31,65 až 70 (více nebo rovno 65 a méně než 70),Plzeňský kraj
83614,65-69,3026,2019-12-31,65 až 70 (více nebo rovno 65 a méně než 70),Středočeský kraj
42727,65-69,3034,2019-12-31,65 až 70 (více nebo rovno 65 a méně než 70),Jihočeský kraj
20138,65-69,3051,2019-12-31,65 až 70 (více nebo rovno 65 a méně než 70),Karlovarský kraj
54376,65-69,3069,2019-12-31,65 až 70 (více nebo rovno 65 a méně než 70),Ústecký kraj
29682,65-69,3077,2019-12-31,65 až 70 (více nebo rovno 65 a méně než 70),Liberecký kraj
37700,65-69,3085,2019-12-31,65 až 70 (více nebo rovno 65 a méně než 70),Královéhradecký kraj
34054,65-69,3093,2019-12-31,65 až 70 (více nebo rovno 65 a méně než 70),Pardubický kraj
32214,65-69,3107,2019-12-31,65 až 70 (více nebo rovno 65 a méně než 70),Kraj Vysočina
73421,65-69,3115,2019-12-31,65 až 70 (více nebo rovno 65 a méně než 70),Jihomoravský kraj
41629,65-69,3123,2019-12-31,65 až 70 (více nebo rovno 65 a méně než 70),Olomoucký kraj
38210,65-69,3131,2019-12-31,65 až 70 (více nebo rovno 65 a méně než 70),Zlínský kraj
